Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Tag,Year
3,78,ATL,Matt Hennessy,C,22,2022,0,0,1,10,10,41,HennMa00,2020
3,79,NYJ,Jabari Zuniga,DE,23,2022,0,0,0,1,1,12,ZuniJa00,2020
3,80,OAK,Lynn Bowden Jr.,WR,22,2023,0,0,0,3,0,26,BowdLy00,2020
3,81,OAK,Bryan Edwards,WR,21,2022,0,0,1,6,6,35,EdwaBr01,2020
3,82,DAL,Neville Gallimore,DT,23,2023,0,0,1,9,9,52,GallNe00,2020
3,83,DEN,Lloyd Cushenberry III,C,22,2023,0,0,2,22,22,57,CushLl00,2020
3,84,LAR,Terrell Lewis,LB,22,2022,0,0,0,5,5,30,LewiTe00,2020
3,85,IND,Julian Blackmon,S,22,2023,0,0,2,16,16,50,BlacJu01,2020
3,86,BUF,Zack Moss,RB,22,2023,0,0,0,16,8,53,MossZa00,2020
3,87,NWE,Anfernee Jennings,LB,23,2023,0,0,0,14,14,45,JennAn00,2020
3,88,CLE,Jordan Elliott,DT,22,2023,0,0,1,17,17,66,ElliJo02,2020
3,89,MIN,Cameron Dantzler,CB,22,2023,0,0,2,10,10,37,DantCa00,2020
3,90,HOU,Jonathan Greenard,DE,23,2023,0,0,1,16,16,48,GreeJo04,2020
3,91,NWE,Devin Asiasi,TE,23,2022,0,0,0,0,0,22,AsiaDe00,2020
3,92,BAL,Devin Duvernay,WR,22,2023,1,2,1,12,12,59,DuveDe00,2020
3,93,TEN,Darrynton Evans,RB,22,2023,0,0,0,3,1,19,EvanDa02,2020
3,94,GNB,Josiah Deguara,TE,23,2023,0,0,0,4,4,50,DeguJo00,2020
3,95,DEN,McTelvin Agim,DT,22,2023,0,0,0,2,2,18,AgimMc00,2020
3,96,KAN,Lucas Niang,T,22,2023,0,0,0,8,8,33,NianLu00,2020
3,97,CLE,Jacob Phillips,LB,21,2022,0,0,0,5,5,20,PhilJa01,2020
3,98,BAL,Malik Harrison,LB,22,2023,0,0,0,14,14,61,HarrMa06,2020
3,99,NYG,Matt Peart,T,23,2023,0,0,0,5,5,43,PearMa00,2020
3,100,OAK,Tanner Muse,S,24,2023,0,0,0,2,0,33,MuseTa00,2020
3,101,NWE,Dalton Keene,TE,21,2023,0,0,0,0,0,7,KeenDa00,2020
